ID,BookID,Index,Name,vi,en
61,4,1,결혼,Kết hôn,Marriage in Korea
62,4,2,영화와 드라마,Phim điện ảnh và phim truyền hình,Movie and Drama
63,4,3,생활과 인터넷,Internet và cuộc sống,Life and Internet
64,4,4,가족의 변화,Sự biến hóa của gia đình,Change in Family
65,4,5,한국의 교육,Giáo dục ở Hàn Quốc,Korean education
66,4,6,문화 차이,Sự khác biệt văn hóa,Cultural differences
67,4,7,직장 생활,Cuộc sống nơi làm việc,Work life
68,4,8,사건과 사고,Rủi ro (sự cố) và tai nạn,Incident & Accident
69,4,9,한국의 경제,Nền kinh tế của Hàn Quốc,Korea economy
70,4,10,종합 연습 1,Luyện tập tổng hợp 1,General Practice 1
71,4,11,신문과 방송,Báo chí và truyền hình,Newspaper and Broadcast
72,4,12,이민 생활,Cuộc sống nhập cư,Immigrant Life
73,4,13,한국인의 사고방식,Cách suy nghĩ của người Hàn Quốc,Korean Mindset
74,4,14,꿈과 미래,Ước mơ và tương lai,Dream & Future
75,4,15,한국의 선거,Bầu cử ở Hàn Quốc,Korean Election
76,4,16,환경 보호,Bảo vệ môi trường,Environmental Protection
77,4,17,한국의 명소와 유적지,Khu di tích và danh lam thắng cảnh của Hàn Quốc,Korea’s Attractions and Heritages
78,4,18,인구 변화,Sự biến đổi dân số,Population Changes
79,4,19,법과 질서,Pháp luật và trật tự,Law and Public Order
80,4,20,종합 연습 2,Luyện tập tổng hợp 2,General Practice 2
