손이 크다	Rộng rãi, phóng khoáng
손이 모자라다	Thiếu nhân công, thiếu người làm
손을 잡다	Bắt tay hợp tác làm ăn
손을 털다	Rửa tay gác kiếm
귀가 얇다	Nhẹ dạ cả tin
귀가 가렵다	Ngứa tai (Ý chỉ có người đang nói về mình)
입이 무겁다	Kín tiếng, kín miệng
손을 놓다	Dừng tay (Thôi/ tạm dừng công việc đang làm)
발이 넓다	Quan hệ rộng
얼굴이 두껍다	Mặt dày, vô liêm sỉ
콧대가 세다	Kiêu căng, kênh kiệu, ương bướng
눈이 높다	Yêu cầu cao, quá kén chọn
궁궐	Cung điện
야간	Ban đêm
개장	Sự mở cửa
소식	Tin tức
문화재보호재단	Quỹ bảo vệ di sản văn hóa
문화재	Di sản văn hóa
일정	Lịch trình
어둠	Bóng tối
은은하다	Lờ mờ, nhạt nhòa
조명	Ánh sáng, sự chiếu sáng
밝히다	Chiếu sáng
비치다	Chiếu, soi bóng, rọi sáng
모습	Hình dạng, hình dáng, dáng vẻ…
예전	Ngày xưa, ngày trước
왕	Vua chúa
궁금해지다	Trở nên tò mò
궁중	Trong cung
상상하다	Tưởng tượng, mường tượng, hình dung
비슷하다	Tương tự, hơi giống, giống giống
탐방	Sự khám phá, sự tham quan
가기	Vào thời điểm đẹp, vào lúc đẹp nhất, lúc tốt nhất 
