성격	Tính cách
외향적이다	Hướng ngoại
내성적이다	Hướng nội
직설적이다	Thẳng thắn
소극적이다	Tiêu cực, thụ động
적극적이다	Tích cực, nhiệt huyết
소심하다	Nhút nhát, rụt rè (Sợ hãi và không táo bạo mà cẩn trọng một cách thái quá).
신중하다	Thận trọng, kỹ lưỡng, chu đáo
꼼꼼하다	Cẩn thận, tỉ mỉ (Điềm đạm và cặn kẽ không có chỗ hở).
까다롭다	Khó tính, kiểu cách, cầu kì
고집이 세다	Cố chấp, bướng bỉnh
원하다	Muốn, mong muốn
쉽게	Một cách dễ dàng
만족하다	Thỏa mãn, vừa lòng
마음에 들다	vừa lòng, hài lòng
느낌	Cảm giác, sự cảm nhận
표현하다	Biểu hiện, thể hiện
스스로	Tự mình, tự bản thân
시키다	Bắt, sai khiến, sai bảo
마음속	Trong lòng, trong thâm tâm
꾸미다	Tô vẽ thêm thắt, dựng chuyện
챙기다	Sắp xếp, sửa soạn, thu xếp
실수	Sự sai sót, sự sơ suất
빈틈	Sơ hở, thiếu sót
자신감	Cảm giác tự tin, sự tự tin
자기	Chính mình
의견	Ý kiến, quan điểm
고치다	Sửa chữa, chỉnh sửa
인간의 특성	Đặc điểm con người
호기심이 있다	Tò mò, có tính tò mò
추진력이 있다	Có chí tiến thủ, có khả năng xúc tiến, có khả năng thúc đẩy
집중력이 있다	Có khả năng tập trung
동정심이 많다	Nhiều đồng cảm
독창적이다	Có tính sáng tạo
책임감이 강하다	Tinh thần trách nhiệm cao
참을성이 있다	Có tính nhẫn nại, tính kiên trì, tình chịu đựng
리더십이 있다	Có khả năng lãnh đạo
새롭다	Mới
신기하다	Mới lạ, thần kỳ, lạ thường
안타깝다	Tiếc nuối, thương cảm, xót thương
돕다	Giúp đỡ, cứu giúp
맡다	Đảm nhận, đảm trách
중요하게; Một cách quan trọng, một cách trọng yếu
무리	Đám, bầy
다스리다	Điều hành
이끌다	Lãnh đạo, dẫn dắt
지도자	Người lãnh đạo
로서	như, với tư cách là
웃음	Tiếng cười, nụ cười
울음	Sự khóc
아픔	Nỗi đau
등	Vân vân, như là
참다	Chịu đựng
견디다	Chịu đựng, cầm cự
맡다	Đảm nhận, đảm trách
목표	Mục tiêu
향하다	Hướng đến, hướng về
밀다	Đẩy, hậu thuẫn…
나아가다	Tiến lên phía trước
힘	Sức lực, sức mạnh, năng lực
자식	Con cái
위하다	Để, cho, dành cho
아무리	Dù thế nào đi chăng nữa
참다	Chịu đựng, cam chịu
모으다	Tập hợp lại, sưu tập
집값	Giá nhà
교과서	Sách giáo khoa
책임감	Tinh thần trách nhiệm
강하다	Vững mạnh
최선	Tốt nhất, hay nhất, tuyệt nhất
매사	Mọi việc
적극적	Tính tích cực
추진력이 있다	Có khả năng xúc tiến, có khả năng tiến hành
일을 맡다	Đảm nhận/ đảm trách công việc
진행시키다	Tiến hành
아무리	Cho dù, dù gì đi nữa
노력하다	Nỗ lực, cố gắng, chịu khó
아르바이트생 người làm thêm
뽑다 tuyển ra, chọn ra
상냥하다 trìu mến, hòa nhã, dịu dàng
책임감	tinh thần trách nhiệm
물어보다 hỏi xem, hỏi thử
혈액형	Nhóm máu
반대로	Ngược lại
맞추다	So, lắp, ghép
내성적	Tính hướng nội
꼼꼼하다	Tỉ mỉ, kỹ lưỡng
며	Và, vừa… vừa
신중하다	Thận trọng, rất cẩn thận
참을성	Tính nhẫn nại, tính chịu đựng
때로	Đôi khi
소심하다	Nhút nhát, rụt rè (Sợ hãi và không táo bạo mà cẩn trọng một cách thái quá).
피곤하다	Mệt mỏi
사소하다	Nhỏ nhặt, vặt vãnh
신경	Đầu óc, suy nghĩ và cảm giác…
적극적	Tính tích cực, nhiệt huyết
직설적	Tính thẳng thắng, trực tính
궁금하다	Tò mò, thắc mắc, băn khoăn
참다	Chịu đựng, cam chịu
독단적	Tính độc đoán
놀라다	Ngạc nhiên, ngỡ ngàng, hoảng hốt, bất ngờ
호기심	Tính tò mò, hiếu kì
독창적	Tính sáng tạo, độc đáo
아이디어	Ý tưởng
또한	Hơn nữa, vả lại
유머	Sự hài hước, dí dỏm
감각	Cảm giác, cảm xúc
인기	Sự yêu mến, sự ngưỡng mộ
화가 나다	Giận dữ, nóng lên, cáu lên
말리다	Can ngăn
까다롭다	Khó tính, kiểu cách, cầu kì
미적	Nét đẹp, cái đẹp
감각	Cảm giác, cảm xúc
개성	Cá tính
강하다	Mạnh, cứng rắn
자신	Bản thân, chính mình
속마음	Trong lòng, trong thâm tâm
예술가	Nghệ sĩ
모습	hình dáng, bộ dạng
전부터	từ trước
자판기	máy bán hàng tự động
외치다	la ó, gào thét, kêu la, quát tháo, kêu ca
흔히	thông thường, thường hay
조선시대	triều đại Joseon, thời  Joseon
느긋하다	chậm rãi, thong thả, khoan thai
산업화	công nghiệp hóa
거치다	thông qua, trải qua
국민총소득	tổng thu nhập quốc dân GNI
불과하다	không quá, không hơn, cùng lắm chỉ
속도	tốc độ
넘다	vượt qua
배	lần
증가하다	tăng, gia tăng
평균	bình quân
격차	sự khác biệt, sự chênh lệch
격차를 벌리다	mở rộng sự chênh lệch
기록하다	ghi chép lại, ghi kỉ lục, đạt kỉ lục
개발하다	phát triển
달하다	đạt đến, đạt được
수치	chỉ số
