공연	Công diễn, biểu diễn
오페라	Opera
콘서트	Buổi hòa nhạc
연주회	Buổi trình diễn
뮤지컬	Ca kịch
사물놀이	Samulnori (Hình thức diễn tấu âm nhạc truyền thống của Hàn Quốc với 4 nhạc cụ truyền thống là cồng, trống dài, chiêng, trống).
국악	Quốc nhạc của Hàn Quốc
판소리	Thể loại âm nhạc truyền thống Hàn Quốc hát kể lại câu chuyện bằng lời hát.
발레	Múa ba lê
연극	Kịch
현대무용	Múa hiện đại
기회	Cơ hội
감상 표현	Các biểu hiện thưởng thức
내용이 흥미진진하다	Nội dung đầy hứng thú, nội dung rất thú vị
내용이 감동적이다	Nội dung xúc động, nội dung cảm động
내용이 지루하다	Nội dung buồn chán
대사가 인상적이다	Lời thoại ấn tượng
연기가 실감 나다	Diễn xuất thật, diễn xuất hay
무대가 환상적이다	Sân khấu mang tính ảo tưởng/ kì dị
여운이 남다	Dư âm/ dư vị còn đọng lại
결말이 비극적이다	Kết thúc mang tính bi kịch, kết thúc không có hậu
기대만 못하다	Thua sự mong đợi
세게	Mạnh, một cách mạnh mẽ
두드리다	Gõ, đấm, đá, lay động, lay chuyển
뜻	ý nghĩa
동시	Đồng thời
제목	Tiêu đề, đề mục, tựa, tên
주방	Nhà bếp, gian bếp
코믹하다	Hài hước
대사	Lời thoại
리듬	Nhịp điệu
바탕	Nền tảng, cơ sở, bản chất
몸짓	Điệu bộ, cử chỉ
진행되다	Được tiến hành, được tiến triển
프라이 팬	Chảo rán
냄비	Nồi
도마	Cái thớt
기구	Dụng cụ
관객	Khán giả, quan khách
흥겹다	Thú vị, thích thú
연주	Sự biểu diễn
들려주다	Cho nghe (cho nghe âm thanh hoặc lời nói).
특히	Một cách đặc biệt
북	Cái trống
장면	Cảnh quay, cảnh diễn, pha, cảnh, màn…
인상적	Tính ấn tượng
중간	Trung gian, ở giữa, giữa lúc, giữa chừng
무대	Sân khấu
시합하다	Thi đấu, so tài
경험하다	Trải nghiệm
뉴욕 브로드웨이	New York Broadway.
비롯하다	Bắt nguồn, khởi nguồn, bắt đầu
세계	Thế giới
앙코르	Sự yêu cầu diễn lại, việc chiếu lại, việc phát sóng lại
요청	Sự đề nghi, sự yêu cầu
뜨겁다	Nóng
관심	Sự quan tâm
힘입다	Được giúp sức, được tiếp sức, chịu sức ép
방콕	Bangkok
북	Cái trống
장단	Nhịp, phách
맞추다	Ghép, lắp, so, khớp
북을 치다	Đánh trống
농민	Nông dân
농악	Nông nhạc
유래하다	Có nguồn gốc, bắt nguồn
꽹과리	Cồng
징	Chiêng
장구	Trống phách
북	Cái trống
흩어지다	bị rải rác, bị vương vãi, bị chia tách, bị tan tác
가락	Nhịp, giọng, bài, khúc
즉	Tức là
자유롭다	Tự do
리듬	Nhịp, nhịp điệu
연주자	Người trình diễn nhạc cụ, người biểu diễn nhạc cụ
즉흥적	tính ngẫu hứng, mang tính ngẫu hứng
독주곡	Bản độc tấu
가야금	Đàn gaya
거문고	Huyền cầm
대금	Sáo daegum
