결혼	Kết hôn
연애하다	hẹn hò, yêu đương
연애 결혼	kết hôn dựa trên sự yêu đương
선을 보다	dạm ngõ, coi mắt, đám hỏi
약혼하다	ước hôn, đính hôn
중매 결혼	kết hôn qua mai mối
결혼하다	kết hôn, cưới
이혼하다	ly hôn
주례	chủ hôn
사회자	người dẫn chương trình
신부	cô dâu
신랑	chú rể
하객	quan khách chúc mừng
청혼하다	cầu hôn
상견례를 하다	gặp mặt hai bên
결혼 날짜를 잡다	định ngày cưới
결혼식장을 잡다	định nơi cưới
예단/예물을 준비하다	chuẩn bị quà cưới
예단	quà cưới của cô dâu cho gia đình nhà chồng
예물	quà cưới của cô dâu và chú rể dành cho nhau
혼수를 장만하다	sắm sửa, chuẩn bị của hồi môn
청첩장을 돌리다	phát thiệp mời
함을 보내다/받다	gửi/ nhận hòm quà cưới
결혼식을 하다	tổ chức lễ cưới
폐백을 드리다	lễ vật cô dâu dành cho cha mẹ chồng
피로연을 하다	tiệc cưới
신혼여행을 가다	đi tuần trăng mật



닮은	xứng đôi, giống
중매결혼	kết hôn do mai mối
연애결혼	kết hôn thông qua yêu đương
마침	đúng lúc, vừa khéo
조건	điều kiện


상견례	lễ ra mắt, diện kiến
허락	sự cho phép, sự đồng ý
본격적	tính quy cách, tính chính thức
신혼	tân hôn
예단	lễ vật (quà cưới của cô dâu cho nhà chồng)
혼수	của hồi môn (vật phẩm cần thiết cho sinh hoạt khi kết hôn)
예물	sính lễ (đồ của cô dâu và chú rễ tặng nhau khi kết hôn),
청첩장	thiệp cưới
옷감	vải áo
하객	khách mừng (khách đến để chúc mừng
축의금	tiền mừng
시댁	nhà chồng, gia đình chồng
식구	người nhà, thành viên
대추	táo tàu
밤	hạt dẻ
던지다	ném
피로연	tiệc mừng



주례	chủ lễ, chủ hôn
절차	bước, trình tự
진행 하다	tiến hành
마주	đối diện, đối mặt
절을 하다	bái lạy
나누다	chia ra, phân chia
대추	táo tàu
소나무	cây thông
대나무	cây tre
기러기	con ngỗng đực
암탉	con gà mái
수탉	con gà trống
이러하다	như thế này
예를 듣다	cho ví dụ, chẳng hạn như, ví dụ như
나타내다	biểu thị, thể hiện, chứng tỏ
상징하다	tượng trưng
족두리	Chokturi, mũ vành của phụ nữ đội trong các nghi thức lễ.
붉은색	màu đỏ đậm
막다	giúp che chở, bảo vệ, ngăn chặn
믿다	tin, tin tưởng
볼	gò má, má
연지	phấn son màu hồng
이마	trán
곤지	vết son đỏ trên trán cô dâu.
