주례	chủ lễ, chủ hôn
절차	bước, trình tự
진행 하다	tiến hành
마주	đối diện, đối mặt
절을 하다	bái lạy
나누다	chia ra, phân chia
대추	táo tàu
소나무	cây thông
대나무	cây tre
기러기	con ngỗng đực
암탉	con gà mái
수탉	con gà trống
이러하다	như thế này
예를 듣다	cho ví dụ, chẳng hạn như, ví dụ như
나타내다	biểu thị, thể hiện, chứng tỏ
상징하다	tượng trưng
족두리	Chokturi, mũ vành của phụ nữ đội trong các nghi thức lễ.
붉은색	màu đỏ đậm
막다	giúp che chở, bảo vệ, ngăn chặn
믿다	tin, tin tưởng
볼	gò má, má
연지	phấn son màu hồng
이마	trán
곤지	vết son đỏ trên trán cô dâu.
