결혼	Kết hôn
연애하다	hẹn hò, yêu đương
연애 결혼	kết hôn dựa trên sự yêu đương
선을 보다	dạm ngõ, coi mắt, đám hỏi
약혼하다	ước hôn, đính hôn
중매 결혼	kết hôn qua mai mối
결혼하다	kết hôn, cưới
이혼하다	ly hôn
주례	chủ hôn
사회자	người dẫn chương trình
신부	cô dâu
신랑	chú rể
하객	quan khách chúc mừng
청혼하다	cầu hôn
상견례를 하다	gặp mặt hai bên
결혼 날짜를 잡다	định ngày cưới
결혼식장을 잡다	định nơi cưới
예단/예물을 준비하다	chuẩn bị quà cưới
예단	quà cưới của cô dâu cho gia đình nhà chồng
예물	quà cưới của cô dâu và chú rể dành cho nhau
혼수를 장만하다	sắm sửa, chuẩn bị của hồi môn
청첩장을 돌리다	phát thiệp mời
함을 보내다/받다	gửi/ nhận hòm quà cưới
결혼식을 하다	tổ chức lễ cưới
폐백을 드리다	lễ vật cô dâu dành cho cha mẹ chồng
피로연을 하다	tiệc cưới
신혼여행을 가다	đi tuần trăng mật
