관용표현	Quán ngữ, Thành ngữ
눈에 안 차다	không vừa mắt, không hài lòng, không thỏa mãn
차다	đầy, thỏa mãn, thỏa lòng
눈이 빠지도록 기다리다	chờ đợi đến mòn cả mắt
한눈을 팔다	lơ đễnh, xao nhãng, không tập trung
눈을 붙이다	chợp mắt
입이 짧다	 khó ăn, kén ăn, biếng ăn
얼굴이 반쪽이 되다	trở nên tiều tụy, mặt mày hốc hác
코 묻은 돈	Số tiền ít mà trẻ con có (thường do dành dụm)
콧대를 꺾다	làm cho ai mất tinh thần, đè bẹp ý chí của ai đó
등을 돌리다	ngoảnh mặt làm ngơ, quay lưng lại với ai đó
머리가 잘 돌아가다	đầu óc nhạy bén, minh mẫn, linh hoạt, sáng suốt
귀에 못이 박히다	Nghe quá nhiều lời nói nào đó, nhồi vào tai, đóng đinh vào tai
배꼽이 빠지다	cười rụng rốn, quá buồn cười
