정	tình cảm
정을 주다	trao, gửi, tình cảm
정을 느끼다	cảm thấy thương tình, cảm thấy thương cảm (cho, đối với ai đó)
정이 많다	giàu tình cảm
정이 들다	có, nảy sinh tình cảm
정이 떨어지다	mất tình cảm
정이 없다	không có tình cảm
정이 넘치다	chan chứa, ngập tràn tình cảm
흥	hứng thú, hứng khởi
흥을 내다	truyền cảm hứng, truyền sự hứng thú
흥이 많다	nhiều cảm hứng, nhiều hứng thú
흥이 나다	đánh thức/ khơi gợi cảm hứng
개방적	tính cởi mở
폐쇄적	tính khép kín
진보적	tính cầu tiến
보수적	tính bảo thủ, cố hữu
비관적	tính bi quan
낙관적	tính lạc quan
혈연을 중시하다	xem trọng huyết thống
‘우리’ 의식을 느끼다	cảm nhận ý thức 'chúng tôi'
온정주의가 있다	có quyền làm cha, quyền bảo vệ che chở
서열을 중시하다	coi trọng thứ bậc
체면을 중시하다	xem trọng thể diện
한국 전통 공연	buổi trình diễn truyền thống Hàn Quốc
사물놀이	Samulnori
마당놀이	Matangnori
어깨춤을 들썩이다	nhún nhảy vai, lắc lư vai
민족	dân tộc
리듬	giai điệu, nhịp điệu
배려	sự quan tâm giúp đỡ
열광시키다	trở nên cuồng nhiệt
발현되다	được thể hiện (Tính chất hay tinh thần đang được giấu bên trong thể hiện ra ngoài)
뻗어나가다	lan rộng, vươn ra
언어의 장벽	 rào cản ngôn ngữ
사고방식	lối tư duy, phương pháp tư duy
잠자리	chỗ ngủ
거절하다	từ chối, khước từ
수치스럽다	hổ thẹn, nhục nhã
나눔	sự chia sẻ
독특하다	đặc sắc, đặc biệt
일상생활	sinh hoạt đời thường
베풀다	tổ chức, thết đãi/ ban tặng, trao cho
간섭	sự can thiệp
예로부터	từ xa xưa
느껴지다	cảm thấy
섭섭하다	thất vọng, ê chề, buồn nản, tiếc nuối
