정	tình cảm
정을 주다	trao, gửi, tình cảm
정을 느끼다	cảm thấy thương tình, cảm thấy thương cảm (cho, đối với ai đó)
정이 많다	giàu tình cảm
정이 들다	có, nảy sinh tình cảm
정이 떨어지다	mất tình cảm
정이 없다	không có tình cảm
정이 넘치다	chan chứa, ngập tràn tình cảm
흥	hứng thú, hứng khởi
흥을 내다	truyền cảm hứng, truyền sự hứng thú
흥이 많다	nhiều cảm hứng, nhiều hứng thú
흥이 나다	đánh thức/ khơi gợi cảm hứng
개방적	tính cởi mở
폐쇄적	tính khép kín
진보적	tính cầu tiến
보수적	tính bảo thủ, cố hữu
비관적	tính bi quan
낙관적	tính lạc quan
혈연을 중시하다	xem trọng huyết thống
‘우리’ 의식을 느끼다	cảm nhận ý thức 'chúng tôi'
온정주의가 있다	có quyền làm cha, quyền bảo vệ che chở
서열을 중시하다	coi trọng thứ bậc
체면을 중시하다	xem trọng thể diện
