방영하다	phát sóng, chiếu phim
공중파	sóng truyền hình, truyền hình mặt đất
케이블 방송	truyền hình cáp
인기를 끌다	hấp dẫn, thu hút, lôi kéo
모래시계	đồng hồ cát
한산해지다	thưa thớt, vắng vẻ, nhàn nhã
겨울연가	bản tình ca mùa đông
풀하우스	ngôi nhà hạnh phúc (full house)
한류 열풍	làn sóng Hallu, làn sóng Hàn Quốc (bạn có thể tra google để hiểu rõ về làn sóng này)
역할	vai trò, nhiệm vụ
제작되다	được chế tác, được sản xuất
비롯하다	bắt nguồn, khởi đầu, bao gồm, trong đó có
정서	tình cảm, hướng chính Tây
공감하다	đồng cảm
보편적	tính phổ biến
가치	giá trị 
담다	chứa đựng
