두 손으로 드리다	Đưa bằng hai tay
두 손으로 받다	Nhận bằng hai tay
고개를 돌리고 술을 마사다	Quay đầu sang một bên rồi uống rượu
허리를 굽혀 인사하다	Cúi lưng chào hỏi
높임말을 사용하다	Sử dụng kính ngữ
무릎을 끓고 앉다	Ngồi quỳ gối
책상다리를 하고 앉다	Ngồi khoanh chân
어른이 숟가락을 드신 후에 밥을 먹다?	Ăn sau khi người lớn dùng muỗng trước
식탁에 밥그릇을 놓고 먹다	Để chén (bát) lên bàn và ăn
버스나 지하철에서 자리를 양보하다	Nhường chỗ trên tàu điện ngầm hay xe bus
어른 앞에서 담배를 피우지 않다	Không hút thuốc là trước mặt người lớn
낯설다	lạ lẫm, không quen
어려움을  겪다	gặp khó khăn
실수를 하다	Gây nhầm lẫn
적응이 안 되다	Không thể thích ứng
실례가 되다	Trở thành thất lễ
오해하다	Hiểu lầm
착각하다	Nhầm lẫn, hiểu lầm
익숙하다	Quen thuộc, thông thạo
실수를 안 하다	Không mắc nhầm lẫn
적응하다	Thích ứng
습관이 되다	Thành thói quen



낯설다	lạ lẫm, xa lạ
인사말	lời chào
오해하다	hiểu nhầm, hiểu lầm
섭섭하다	thất vọng, tiếc nuối, buồn nản...
종종	thỉnh thoảng, đôi khi



예식장	nhà hàng tiệc cưới
축의금	tiền mừng
장례식	tang lễ
빈소	nhà tang lễ
조의금	tiền phúng viếng, tiền phúng điếu
부의	đồ phúng viếng, tiền phúng viếng, sự phúng viếng
