사고	Tai nạn, sự cố
가스사고	Tai nạn khí ga (cháy, nổ)
화재사고	Tai nạn hỏa hoạn
감전사고	Tai nạn điện giật
교통사고	Tai nạn giao thông
접촉 사고	Tai nạn do va chạm
음주운전 사고	Tai nạn do uống rượu, bia
신고하다	Khai báo, trình báo
보험으로 처리하다/보험금을 받다	Giải quyết qua công ty bảo hiểm
합의하다	Thỏa thuận
합의금을 주다	Gửi tiền đền bù theo thỏa thuận
합의금을 받다	Nhận tiền đền bù theo thỏa thuận
사건	Sự kiên, vụ việc (vụ việc thu hút sự chú ý quan tâm)
강도·절도	Cướp giật · Trộm cắp
폭행	Bạo hành, bạo lực, hành hung
사기	Sự lừa đảo 
납치	Sự bắt cóc
살인	Giết người
피해자	Người bị hại/ the injured party
납치당하다	trở thành nạn nhân bắt cóc
사기당하다	trở thành nạn nhân lừa đảo
폭행하다	trở thành nạn nhân của bạo hành
도난당하다	Bị cướp đoạt, trộm cướp
도둑맞다	Bị mất trộm, ăn trộm
소매치기를 당하다	Bị móc túi
범인을 잡다	Bắt tội phạm
체포하다	bắt giữ, tóm cổ
