경제 주체	Chủ thể kinh tế
가계	Hộ gia đình
기업	Công ty, doanh nghiệp, tập đoàn
정부	Chính phủ
소비자	Người tiêu dùng
생산자	Nhà sản xuất/ manufacturer
수요	Nhu cầu
공급	Sự cung cấp
세금을 내다	Nộp thuế
세금을 걷다	Thu thuế
직원을 고용하다	Thuê nhân công, nhân viên
월급을 받다	Nhận lương tháng
생산하다	Sản xuất
판매하다	Bán ra
제공하다	Cung ứng
소비하다	Tiêu thụ
구매하다	Mua sắm
대기업	Doanh nghiệp lớn
중소기업	Doanh nghiệp vừa và nhỏ
농산물	Sản phẩm nông nghiệp
수산물	Hàng thủy sản
공산품	Sản phẩm công nghiệp
물가가 오르다	Vật giá, giá cả tăng lên
물가가 내리다	Vật giá, giá cả hạ xuống
소비가 늘다	Nhu cầu tiêu thụ gia tăng
소비가 줄다	Nhu cầu tiêu thụ giảm
경기가 줗다	Tình trạng kinh tế tốt
경기가 나쁘다	Tình trạng kinh tế xấu
실업률이 증가하다	Tỷ lệ thất nghiệp tăng
실업률이 감소하다	Tỷ lệ thất nghiệp giảm
수출하다	Xuất khẩu
수입하다	Nhập khẩu
수출(수입)이 늘다	Xuất (nhập) tăng
수출(수입)이 줄다	Xuất (nhập) giảm
수출품	Hàng xuất khẩu
수입품	Hàng nhập khẩu
손해	Sự thiệt hại, tổn thất
이익	Lợi ích, lợi nhuận
해외에 투자하다	Đầu tư nước ngoài
사업에 투자하다	Đầu tư kinh doanh
환율이 오르다	Tỷ giá hối đoái tăng
환율이 내리다	Tỷ giá hối đoái giảm
선진국	Nước phát triển
개발도생국	Nước đang phát triển
저개발국	Nước kém phát triển
산업	Công nghiệp
농업	Nông nghiệp
수산업	Thủy sản
공업	Công nghiệp
건설업	Xây dựng
서비스업	Dịch vụ
국민소득	Thu nhập quốc dân
국민총소득	tổng thu nhập quốc dân
인구수	Dân số
1인당 국민소득	Thu nhập quốc dân tính theo đầu người
한국의 국민소득은 2만 달러	Thu nhập quốc dân của Hàn Quốc là 20000 USD
경제성정률	Tỷ lệ tăng trưởng kinh tế
운영하다	vận hành, điều hành, hoạt động
부담	trọng trách, gánh nặng
빚	món nợ, khoan nợ
당장	ngay tại chỗ, ngay lập tức
서민	dân thường
한강의 기적	Kỳ tích sông Hàn
영토	 lãnh thổ
국민소득	thu nhập quốc dân
무역	 thương mại
거래량	lượng giao dịch
급격하다	nhanh chóng, vượt bậc
조선업계	 ngành đóng tàu
반도체	chất bán dẫn (Chất có dẫn điện hoặc không có dẫn điện tùy vào nhiều trạng thái.)
매출	 việc bán hàng
강국	cường quốc
올림픽	 thế vận hội Olympic
월드컵	 Worldcup
주최하다	bảo trợ, đỡ đầu (Nhận trách nhiệm chương trình hay tổ chức rồi lên kế hoạch và mở ra)
무리하다	quá mức (vượt khỏi phạm vi thích hợp.)
외환 위기	khủng hoảng tài chính, khủng hoảng trao đổi tiền tệ
해결하다	giải quyết
국제통화기금	quỹ tiền tệ quốc tế / International Monetary Fund (IMF)
경제 위기	 khủng hoảng kinh tế
극복하다	vượt qua
자발적	 mang tính tự giác, có tính tự giác
이겨내다	chiến thắng, vượt qua
돈을 갚다	 trả lại tiền (đã mượn)
단단한 경제	nền kinh tế vững chắc
클럽	Club câu lạc bộ 
선진국	nước phát triển
진입	sự thâm nhập, sự tiến vào
경쟁력	sức cạnh tranh, năng lực cạnh tranh
갖추다	trang bị, có ,giữ
만족하다	thỏa mãn, thỏa lòng, hài lòng
적정선	mức phù hợp, mức hợp lý
유일하다	duy nhất
대열	hàng ngũ
청신호	đèn xanh
