한강의 기적	Kỳ tích sông Hàn
영토	 lãnh thổ
국민소득	thu nhập quốc dân
무역	 thương mại
거래량	lượng giao dịch
급격하다	nhanh chóng, vượt bậc
조선업계	 ngành đóng tàu
반도체	chất bán dẫn (Chất có dẫn điện hoặc không có dẫn điện tùy vào nhiều trạng thái.)
매출	 việc bán hàng
강국	cường quốc
올림픽	 thế vận hội Olympic
월드컵	 Worldcup
주최하다	bảo trợ, đỡ đầu (Nhận trách nhiệm chương trình hay tổ chức rồi lên kế hoạch và mở ra)
무리하다	quá mức (vượt khỏi phạm vi thích hợp.)
외환 위기	khủng hoảng tài chính, khủng hoảng trao đổi tiền tệ
해결하다	giải quyết
국제통화기금	quỹ tiền tệ quốc tế / International Monetary Fund (IMF)
경제 위기	 khủng hoảng kinh tế
극복하다	vượt qua
자발적	 mang tính tự giác, có tính tự giác
이겨내다	chiến thắng, vượt qua
돈을 갚다	 trả lại tiền (đã mượn)
단단한 경제	nền kinh tế vững chắc
