상징	biểu tượng, tượng trưng 
정식	chính thức 
구별하다	phân biệt 
부르다	gọi, kêu, đặt tên 
명칭	Danh xưng, tên gọi
바탕	nền, nền tảng, cơ sở 
문양	mẫu, hình hoa văn 
중앙	trung tâm 
모서리	góc, góc cạnh 
괘	quẻ 
밝음	trong sáng
순수	thuần khiết, trong sáng 
평화	hòa bình 
존귀	tôn quý 
희망	hy vọng 
나타내다	thể hiện
우주	vũ trụ 
각각	từng, mỗi, một
건	(Quẻ) Càn
곤	(Quẻ) Khôn
감	Quẻ) Khảm
리	(Quẻ) Ly 
자연	Tự nhiên
조화	Sự điều hòa, sự hòa hợp
강조한다	Khẳng định, nhấn mạnh
고려하다	cân nhắc, suy tính đến 
국경일	Ngày Quốc Khánh
창가	cạnh cửa sổ
상징하다	tượng trưng
구성	Sự cấu thành, kết cấu, bố cục
구성되다	được cấu thành
제외하다	loại trừ, ngoại trừ, trừ ra
