영원히	mãi mãi, forever
담기다	chứa đựng
실제로	trong thực tế, thực tiễn 
송이	bông (hoa), nãi (chuối), chùm (trái cây)
상징하다	tượng trưng 
잎	lá, cánh 
활짝	(mở, giang, xòe) rộng 
정부	chính phủ 
창제하다	sáng chế
문장	biểu tượng, hình dấu đặc trưng (tranh hay dấu hiệu thể hiện biểu trưng về đất nước, đoàn thể hay gia đình.) 
활용	áp dụng, ứng dụng 
이루다	tạo nên
요소	yếu tố 
비교적	tương đối, khá 
이후	sau này, mai sau, về sau
문맹	nạn mù chữ, người mù chữ
줄어들다	giảm đi
발전시키다	làm cho phát riển
성과	thành quả
선정하다	tuyển chọn
상	phần thưởng, giải thưởng
정하다	định, quyết định, chọn
국기를 다는 날	Ngày treo quốc kì
3월 1일 (삼일절)	ngày kỷ niệm phong trào độc lập diễn ra năm 1919 trong thời kỳ thuộc địa Nhật.
6월 6일 (현충일)	ngày tưởng niệm những người hy sinh vì tổ quốc
7월 17일 (제헌절)	ngày kỷ niệm ngày hiến pháp đầu tiên của Hàn Quốc được ban hành vào năm 1948.
8월 15일 (광복절)	ngày kỷ niệm sự giải phóng khỏi thuộc địa Nhật, giành độc lập năm 1945
10월 3일 (개천절)	ngày kỷ niệm việc thành lập thủy tổ của dân tộc (nước cổ Triều Tiên) trên bán đảo Triều Tiên.
10월 9일 (한글날)	ngày kỷ niệm việc vua Sejong tạo ra chữ Hangul.
