일터	Nơi làm việc 
-는/-ㄴ 편이다	Thuộc diện, thuộc loại 
대략	Đại khái, vào khoảng 
은퇴하다	Nghỉ hưu 
공무원 	Công chức, viên chức 
안정적	Tính ổn định 
뽑다	Tuyển chọn, tuyển ra
비하다	So với, trái với ...
인원수	Đầu người, số người
경쟁률	Tỷ lệ chọi, tỷ lệ cạnh tranh 
봉급	Tiền lương 
혜택	Sự đãi ngộ, sự ưu đãi 
선호하다	Ưu chuộng, ưa thích 
다소	Hơn kém 
규모	Quy mô 
중소기업	Doanh nghiệp vừa và nhỏ 
개인적	Tính cá nhân
년대	Thập niên, thập kỷ 
무렵	Khoảng thời kì, vào lúc 
대부분	Đại bộ phận, đại đa số 
최근 들어 	Dạo gần đây 
진학률	Tỷ lệ học lên 
진출	Sự thâm nhập, sự tiến vào 
비율	Tỷ lệ, phần trăm, tỷ số 
줄어들다	Giảm đi, giảm thiểu
맞벌이 부부 	Vợ chồng đều đi làm kiếm tiền 
증가하다	Tăng, gia tăng
상당수	Số lượng đáng kể 
초반	Đầu (Giai đoạn đầu của việc nào đó hoặc khoảng thời gian nhất định). 
중반	Giữa (Giai đoạn giữa của việc nào đó hoặc khoảng thời gian nhất định.) 
겪기	Sự trải qua, trải nghiệm/ sự tiếp nhận, tiếp đón
각자	Từng người, mỗi người
친밀하다	Thân mật, thân thiết
한편	Một mặt, mặt khác
출신	Sự xuất thân
-끼리	Theo nhóm
