관공서	Cơ quan nhà nước
멈추다	Dừng lại, ngưng lại, tạm nghỉ
적용되다	Được áp dụng, được vận dụng
일부 	Một phần, một bộ phận
제외하다	Trừ ra, loại ra
영업	Việc kinh doanh
흔히	Thông thường, thường hay
근무	Sự làm việc, công việc
마치다	Kết thúc, chấm dứt, hoàn tất 
갖다	Có, sở hữu, tham gia 
쌓이다	Chất chồng, tích tụ 
누군	Người nào đó, ai đó 
옮기다	Di chuyển, dời 
이야기 나누다	Trò chuyện chia sẻ 
이어지다	Tiếp tục, tiếp diễn
여가	Thời gian rảnh, thời gian nhàn rỗi
종교	Tôn giáo 
갖다	Có, sở hữu, tham gia 
초 – 중 – 말	Đầu - giữa - cuối 
해수욕장	Bãi tắm biển 
계곡	Thung lũng (khe núi có nước chảy) 
계절별로	Theo mùa
