통신수단	Phương tiện truyền thông 
멀리 떨어져 있다	Ở cách xa 
주고받다	Cho và nhận trao đổi 
는 물론	Không những… mà cả 
장치 	Sự trang bị trang thiết bị 
연결되다	Được kết nối được liên kết 
유선 전화	Điện thoại bàn 
대다수 	Đại đa số 
각자 	Mỗi người mỗi cá nhân
발달하다	Phát triển 
자유롭다	Tự do 
연결되다	Được kết nối 
통신망	Mạng thông tin 
개별	Riêng biệt riêng lẻ 
보급되다	Được cung cấp được phổ cập được phổ biến 
태블릿 PC	Máy tính bảng 
무선통신	Viễn thông không dây 
늘어나다	Tăng lên khá lên
알아내다	tìm hiểu tìm tòi
범죄	sự phạm tội
빼가다	lấy đi
사례	ví dụ cụ thể ví dụ điển hình
낯설다	lạ lẫm xa lạ lạ mặt
데리다	dẫn dẫn theo
적히다	được ghi lại bị ghi lại
접속하다	tiếp xúc kết nối
유출되다	bị rò rỉ bị tuồn ra
뱅킹	banking
보안카드	thẻ bảo an thẻ bảo mật
자세하다	tỉ mỉ chi tiết
검찰청	viện kiểm sát
한국정보보호진흥원	cơ quan an ninh thông tin Hàn Quốc
